Att,date,Value
DesRoll,1.2666727333,0.00
DesRoll,1.2683415500,0.00
DesRoll,1.2699966333,0.00
DesRoll,1.2716816333,0.00
DesRoll,1.2733408000,0.00
DesRoll,1.2750033667,0.00
DesRoll,1.2766708167,0.00
DesRoll,1.2783480167,0.00
DesRoll,1.2800060833,0.00
DesRoll,1.2816631333,0.00
DesRoll,1.2833403167,0.00
DesRoll,1.2849962500,0.00
DesRoll,1.2866734000,0.00
DesRoll,1.2883427667,0.00
DesRoll,1.2900083667,0.00
DesRoll,1.2916684500,0.00
DesRoll,1.2933385333,0.00
DesRoll,1.2950002667,0.00
DesRoll,1.2966720000,0.00
DesRoll,1.2983486167,0.00
DesRoll,1.2999989667,0.00
DesRoll,1.3016664667,0.00
DesRoll,1.3033318167,0.00
DesRoll,1.3050092833,0.00
DesRoll,1.3066684833,0.00
DesRoll,1.3083413667,0.00
DesRoll,1.3099985333,0.00
DesRoll,1.3116740833,0.00
DesRoll,1.3133386167,0.00
DesRoll,1.3150058333,0.00
DesRoll,1.3166727667,0.00
DesRoll,1.3183425667,0.00
DesRoll,1.3199967667,0.00
DesRoll,1.3216740000,0.00
DesRoll,1.3233362667,0.00
DesRoll,1.3250015000,0.00
DesRoll,1.3266713833,0.00
DesRoll,1.3283400667,0.00
DesRoll,1.3300053000,0.00
DesRoll,1.3316719667,0.00
DesRoll,1.3333351167,0.00
DesRoll,1.3350027000,0.00
DesRoll,1.3366714333,0.00
DesRoll,1.3383512000,0.00
DesRoll,1.3400041333,0.00
DesRoll,1.3416699167,0.00
DesRoll,1.3433368167,0.00
DesRoll,1.3450002167,0.00
DesRoll,1.3466624833,0.00
DesRoll,1.3483395333,0.00
DesRoll,1.3499977667,0.00
DesRoll,1.3516746333,0.00
DesRoll,1.3533298167,0.00
DesRoll,1.3550199500,0.00
DesRoll,1.3566709833,0.00
DesRoll,1.3583489333,0.00
DesRoll,1.3599971500,0.00
DesRoll,1.3616713333,0.00
DesRoll,1.3633346500,0.00
DesRoll,1.3650085833,0.00
